,Stock,Sharp_ratio,Profit ,Profit
0,AAPL,0.8822947905416647,,42.27
0,AMZN,0.8455092750879715,,-6.23
0,FB,0.8250773280849566,,72.15
0,GOOG,0.9488723566321077,,12.13
0,MMM,0.7886852162827807,,-0.16
0,MSFT,0.8110123620884577,,1.82
0,NFLX,0.8532990902028864,,18.93
0,NKE,0.9668176058170497,,2.8400000000000003
0,NVDA,1.1430894234318034,,73.85000000000001
0,INTC,0.003430368484380993,,5.13
0,CSCO,0.4851840831071939,,8.64
0,WMT,0.9564390672267974,,-0.0
0,TSLA,0.06320597221949881,,353.21
0,EBAY,0.6597148517172458,,-5.1
0,ORCL,0.7600409909303699,,-0.16
0,CBG.BK,0.8197034517870087,,48.29
0,OSP.BK,0.019914153559428067,,-0.16
0,BBL.BK,0.40041233249171837,,-32.06
0,SCB.BK,0.7374423420442211,,-29.23
0,LH.BK,0.4924927883086306,,-23.13
0,MINT.BK,0.8045646864879799,,-55.75
0,PTT.BK,0.5921016182609774,,-22.38
0,BANPU.BK,1.2915925487779985,,-0.16
0,ADVANC.BK,0.05053518736219521,,-0.16
0,TRUE.BK,0.928130607060911,,-20.24
0,AOT.BK,0.1769370939229941,,2.16
0,BEM.BK,0.24426930020096754,,-10.190000000000001
0,BTS.BK,0.5483638868180186,,-18.740000000000002
0,CPALL.BK,0.10223636386436206,,-36.28
0,CPN.BK,0.7108921119946435,,-48.24
